"id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durSchoolSite","durSchoolOnline","durStudy","mainStudent","mainJobSearch","mainEmployed","mainWorked12m","mainWorkedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone"
10180,6,2,"widowed",11,"pei",1,6,3,360,135,20,1250,105,0,0,0,0,NA,2,1,1,2,NA,8,2,1,2,2
10189,6,1,"married",13,"urban",3,6,5,435,0,75,215,20,470,0,0,0,NA,NA,NA,1,1,NA,8,1,2,2,2
10190,4,1,"neverMarried",47,"urban",3,4,6,560,120,0,1440,10,540,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,1
10195,6,2,"married",47,"rural",2,4,3,690,0,30,0,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10197,6,1,"married",10,"rural",3,6,1,630,0,120,180,0,375,0,0,0,NA,NA,NA,1,1,NA,8,1,2,2,2
10203,2,1,"neverMarried",35,"urban",7,4,1,600,0,15,815,0,480,0,0,0,NA,NA,NA,1,1,NA,5,2,2,1,2
10209,6,1,"married",35,"urban",3,6,2,510,0,40,400,325,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10210,2,1,"neverMarried",13,"urban",4,4,2,510,10,20,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2
10213,3,2,"neverMarried",35,"urban",4,6,6,765,60,15,810,30,180,0,0,0,NA,NA,NA,1,1,NA,5,2,2,2,1
10215,6,2,"married",48,"rural",4,4,6,480,20,160,0,0,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,1
10216,6,1,"married",35,"urban",5,4,6,485,0,40,625,120,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10219,6,1,"married",12,"rural",2,4,1,600,90,0,135,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10221,4,2,"divorced",13,"urban",1,6,1,1070,30,10,1440,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
10224,7,2,"divorced",24,"urban",3,6,6,420,60,60,1350,100,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10226,7,1,"separated",24,"urban",2,6,6,745,80,100,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10231,6,1,"commonLaw",10,"rural",3,5,5,590,80,125,425,10,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,1
10232,7,2,"widowed",46,"rural",4,6,6,570,245,110,1440,20,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2
10234,6,1,"married",12,"rural",2,6,4,290,0,75,360,180,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10237,7,2,"widowed",10,"urban",5,4,3,595,15,130,1135,50,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10239,6,2,"widowed",10,"urban",3,6,2,420,0,60,1350,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2
10245,5,1,"married",13,"rural",2,6,3,720,60,40,425,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
10247,5,1,"neverMarried",59,"urban",2,5,5,510,20,30,1230,130,0,0,0,0,NA,2,2,2,2,NA,3,2,2,2,2
10256,6,2,"married",13,"urban",3,6,3,450,25,10,785,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
10258,1,1,"neverMarried",48,"urban",1,4,2,630,90,60,660,0,0,0,0,0,NA,NA,1,1,2,NA,1,1,2,2,1
10261,3,1,"neverMarried",35,"urban",2,4,3,660,180,40,1320,140,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2
10263,5,2,"married",35,"urban",2,6,6,540,55,45,210,0,75,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2
10276,7,2,"widowed",11,"pei",1,6,6,725,45,130,955,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2
