,PUMFID,AGEGR10,SEX,MARSTAT,PRV,LUC_RST,EHG_ALL,GTU_110,GTU_130,DUR01,DUR05,DUR06,DURS200,DURL313,DUR08,DUR13,DUR14,DUR15,MRW_20,MRW_30,MRW_40,MRW_D40A,MRW_D40B,EDM_02,TST_01,TCS_110,TCS_120,TCS_150,TCS_200
0,10000,5,1,5,46,1,3,1,1,510,60,120,770,90,0,0,0,0,6,1,1,1,2,6,8,2,2,2,2
1,10001,5,1,1,59,1,4,3,4,420,150,0,0,0,0,0,0,0,6,2,1,1,2,6,1,2,2,2,2
2,10002,4,2,1,47,1,5,1,6,570,0,0,630,30,480,0,0,0,6,6,6,1,1,6,7,2,1,1,1
3,10003,6,2,5,35,1,4,2,4,510,10,45,875,80,20,0,0,0,6,6,6,1,1,6,1,2,2,2,2
4,10004,2,1,6,35,1,99,1,3,525,90,40,815,0,0,0,0,0,6,9,9,2,2,6,1,2,2,2,2
5,10005,1,1,6,35,1,1,1,6,435,0,0,430,40,530,0,0,0,6,6,6,1,1,6,2,2,1,1,2
6,10006,1,1,6,35,1,1,4,2,635,60,50,650,0,0,0,0,0,6,2,1,1,2,6,3,7,2,2,2
7,10007,5,2,3,59,1,4,5,3,440,30,160,1200,60,0,0,0,0,6,2,2,2,2,6,8,2,2,1,2
8,10008,2,2,1,24,2,6,2,3,525,40,70,30,5,410,0,0,0,6,6,6,1,1,6,1,2,2,2,2
9,10009,6,1,3,46,1,3,6,2,540,20,120,1060,70,0,0,0,0,6,2,2,2,2,6,8,2,2,2,2
10,10010,3,2,1,11,3,6,2,4,480,50,20,10,10,441,0,0,0,6,6,6,1,1,6,2,2,2,2,2
11,10011,2,2,6,35,1,3,1,6,630,60,20,235,65,475,0,0,0,6,6,6,1,1,6,2,1,2,1,2
12,10012,2,2,1,35,2,7,1,2,390,0,50,90,90,480,0,0,0,6,6,6,1,1,6,2,2,2,1,2
13,10013,3,1,1,24,1,6,4,6,510,0,20,200,90,0,0,0,0,2,1,2,2,2,2,1,2,1,2,2
14,10014,2,2,1,35,1,4,2,6,500,75,45,270,150,0,0,0,0,6,2,1,1,2,6,2,2,2,2,1
15,10015,5,1,3,48,1,7,1,3,570,0,15,825,15,615,0,0,0,6,6,6,1,1,6,2,2,2,2,2
