"id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durShoolSite","durSchoolOnline","durStudy","MRW_20","MRW_30","MRW_40","worked12m","workedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone","province_char","maritalStat_char","eduLevel_char","isFeelRushed"
22114,1,1,6,59,1,1,3,3,480,0,10,10,0,0,0,0,0,NA,NA,NA,1,1,1,7,2,2,2,2,"BC","Single, never married","Less than high school dimploma or its equivalent",1
22115,4,1,4,59,2,2,1,2,690,60,40,1440,20,0,0,0,0,NA,2,1,1,2,NA,1,1,2,1,2,"BC","Separated","High school diploma or equivalency",1
22116,5,1,1,24,1,7,1,4,450,0,180,770,20,130,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,2,"QC","Married","University certificate, diploma, degree above the BA level",1
22117,7,2,1,59,1,4,6,6,630,85,20,150,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"BC","Married","College, CEGEP, or other non-university certificate or dimploma",0
22118,4,2,6,47,1,5,2,1,480,0,0,985,170,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,2,"SK","Single, never married","University certificate or dimploma below the bachelor's level",1
22119,7,2,3,35,1,1,1,1,900,0,90,1290,0,0,0,0,0,NA,2,2,2,2,NA,8,NA,2,2,2,"ON","Widowed","Less than high school dimploma or its equivalent",1
22120,5,1,6,24,1,4,2,NA,750,0,25,835,40,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2,"QC","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
22121,5,2,1,48,2,2,1,6,570,60,30,100,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"AB","Married","High school diploma or equivalency",1
22122,4,1,1,13,1,4,2,2,450,60,60,210,30,480,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,"NB","Married","College, CEGEP, or other non-university certificate or dimploma",1
22123,3,2,5,10,2,5,1,6,480,60,55,570,0,585,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2,"NL","Divorced","University certificate or dimploma below the bachelor's level",1
22124,3,2,1,35,1,4,3,6,540,165,30,645,0,0,0,0,0,NA,2,1,1,2,NA,5,2,2,2,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
22125,6,2,1,46,1,3,2,2,540,85,30,65,0,480,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"MB","Married","Trade certificate or diploma",1
22126,3,2,1,48,1,7,1,1,440,105,25,530,50,0,0,0,0,NA,1,2,2,2,NA,1,2,2,2,2,"AB","Married","University certificate, diploma, degree above the BA level",1
22127,4,2,5,12,1,3,1,6,405,60,25,870,20,510,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2,"NS","Divorced","Trade certificate or diploma",1
22128,3,2,2,12,1,6,2,2,405,85,60,30,0,0,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,1,"NS","Living common-law","Bachelor's degree",1
22129,6,2,1,13,1,2,6,6,375,60,30,990,0,0,0,0,0,NA,2,2,2,2,NA,1,1,1,2,2,"NB","Married","High school diploma or equivalency",0
22130,3,1,6,11,3,NA,1,4,600,30,40,50,30,510,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,"PEI","Single, never married",NA,1
22131,3,1,6,47,1,4,3,3,375,78,30,1440,93,524,0,0,0,NA,NA,NA,1,1,NA,4,2,2,2,2,"SK","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
22132,3,2,1,35,1,4,1,6,510,55,45,360,0,0,0,0,0,NA,1,1,1,2,NA,1,2,2,2,1,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
22133,6,2,5,35,1,2,3,6,760,0,130,830,0,0,0,0,0,NA,2,2,2,2,NA,3,2,2,1,2,"ON","Divorced","High school diploma or equivalency",1
22134,2,2,2,24,2,6,1,6,510,30,15,540,90,465,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,1,"QC","Living common-law","Bachelor's degree",1
22135,2,1,2,48,1,6,1,4,285,0,175,365,120,495,0,0,0,NA,NA,NA,1,1,NA,2,1,1,1,2,"AB","Living common-law","Bachelor's degree",1
22136,5,2,1,13,1,2,4,3,495,60,155,0,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2,"NB","Married","High school diploma or equivalency",0
22137,2,1,2,24,1,6,1,3,575,0,315,0,0,0,0,0,0,NA,NA,NA,1,1,NA,3,1,1,1,2,"QC","Living common-law","Bachelor's degree",1
22138,4,1,1,35,1,6,2,6,555,90,60,340,40,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,1,"ON","Married","Bachelor's degree",1
22139,6,2,5,24,2,1,6,6,470,15,25,1440,0,0,0,0,0,NA,2,2,2,2,NA,2,2,2,2,2,"QC","Divorced","Less than high school dimploma or its equivalent",0
22140,6,2,2,59,1,1,2,6,600,330,0,210,0,0,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"BC","Living common-law","Less than high school dimploma or its equivalent",1
22141,5,1,1,35,1,6,3,3,530,30,0,345,70,365,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,"ON","Married","Bachelor's degree",1
22142,5,1,2,24,1,3,5,6,600,60,90,0,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"QC","Living common-law","Trade certificate or diploma",0
